age,gender,total_purchases,avg_order_value,days_since_last_purchase,membership_level,used_voucher,satisfaction_score,will_return
25,Nữ,1,677000.0,5,Bạc,1,2,0
27,Nam,1,612000.0,1,Đồng,0,3,0
26,Nam,1,595000.0,3,Đồng,0,3,0
21,Nam,1,774000.0,3,Đồng,0,5,0
22,Nam,1,580000.0,3,Đồng,1,5,0
23,Nữ,6,775000.0,7,Đồng,1,5,0
30,Nam,1,597000.0,1,Đồng,0,2,0
30,Nam,2,633000.0,1,Đồng,1,2,0
31,Nam,1,616000.0,2,Đồng,0,3,0
27,Nam,1,573000.0,1,Đồng,1,3,0
26,Nữ,15,1170000.0,8,Kim Cương,1,3,0
30,Nam,1,687000.0,1,Bạc,0,3,0
20,Nam,2,625000.0,2,Đồng,1,3,0
19,Nam,1,683000.0,1,Đồng,0,3,0
29,Nam,4,868000.0,7,Vàng,0,2,0
30,Nam,1,716000.0,2,Đồng,1,5,0
20,Nữ,1,684000.0,1,Đồng,1,2,0
22,Nam,1,669000.0,3,Bạc,1,3,0
23,Nam,1,874000.0,6,Bạc,1,3,0
39,Nữ,4,749000.0,3,Đồng,1,4,0
20,Nam,7,788000.0,7,Bạc,1,3,0
39,Nữ,15,830000.0,6,Vàng,1,2,0
30,Nam,1,659000.0,1,Đồng,0,3,0
21,Nữ,2,631000.0,2,Đồng,1,3,0
32,Nam,1,886000.0,3,Vàng,0,2,0
22,Nữ,1,784000.0,4,Đồng,1,5,0
28,Nam,1,748000.0,6,Bạc,1,4,1
28,Nam,4,694000.0,5,Đồng,0,3,1
36,Nam,1,665000.0,15,Đồng,1,4,1
27,Nữ,3,818000.0,7,Vàng,1,2,1
26,Nam,1,653000.0,9,Đồng,0,3,1
22,Nam,1,771000.0,1,Bạc,1,3,1
46,Nữ,1,727000.0,1,Đồng,1,4,1
30,Nam,2,832000.0,11,Vàng,1,2,1
30,Nữ,1,661000.0,2,Đồng,1,3,1
22,Nam,2,754000.0,2,Đồng,0,2,1
30,Nam,2,655000.0,2,Đồng,0,4,1
22,Nam,1,572000.0,2,Đồng,0,2,1
42,Nam,1,862000.0,4,Vàng,1,2,1
